Name,Price,Discount,image Link
Ritebrand Long Life Full Cream Milk 6 x 1L, R84.99 , R84.99 ,/medias/lqi-10156109PK1-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTExfGltYWdlL3BuZ3xpbWFnZXMvaDI3L2gzZi85MTA2NTUyMzI0MTI2LnBuZ3xlNmEzMDFhYzQ0NTI4NTM0NmQzZDJjODczMzBjNjMxNDQzYWYwZGFiN2RjYjVlN2Y0N2RkMTI3YmY4Yjc1ZmU5
Iwisa Super Maize Meal Bag 2.5kg, R35.99 , R35.99 ,/medias/lqi-10142227EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzUzfGltYWdlL3BuZ3xpbWFnZXMvaDliL2g2NS85NzQ2ODIwMzk5MTM0LnBuZ3wwN2VmOWE5Y2M1M2RlYjBjMWZiNGMwNzRlZWUxYzQ5YTUzZTU2MmQyMWQ1NjNmYzNjZjI0OTFjM2NiODkyMTll
Carling Black Label Beer Can 500ml, R17.99 , R17.99 ,/medias/lqi-10541856EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTEwfGltYWdlL3BuZ3xpbWFnZXMvaDAyL2gwZS8xMDExMDc5NDk4OTU5OC5wbmd8ZGZiNDYwMzI3NWJjZWQ1ZTI5MzBlZGY2N2EyZTY4NmZiNmJkNGFmMTM0ZTJkODg4Mjk4NDA1YzA5MjUzMWRiYg
Farmer's Choice Frozen Chicken Mixed Portions 5kg, R224.99 , R224.99 ,/medias/lqi-10248591EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMTM4fGltYWdlL3BuZ3xpbWFnZXMvaGQxL2g4NC8xMDEwNTA3NTYzMDExMC5wbmd8ZmVjZTFlY2E0NWQ0YmU3MDQ3MjU5OWU2NTExMzQyZDRkMGM4OTRjNzRiODk0ZWViZDg1NDNiMjEwYjA1MWFmNA
Messaris Bubbles Cheese Flavoured Maize Snack 100g, R9.99 , R9.99 ,/medias/lqi-10534522EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyNDM4fGltYWdlL3BuZ3xpbWFnZXMvaGRiL2g5MC85MDg2MjEzMDI5OTE4LnBuZ3w3ODliNWQwNjI2ODdmYzFmNWM4M2EzNjEzODRlYTc1NmZhMjg3NzliZWU5MTkxZDQ1YTcxMWE2YjllNzk3OTVh
Cadbury Dairy Milk Whole Nut Chocolate Slab 80g, R14.99 , R14.99 ,/medias/lqi-10240811EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNjk5fGltYWdlL3BuZ3xpbWFnZXMvaGJmL2hkMi8xMDA0OTI4MTY1NDgxNC5wbmd8ODhjYmE4ZWZiNGJkOWFkMTQ0YTBlMGVjZGZlMjU0MDE3N2Y2MTE5Zjg0YTNhNmY5Yjg2YmFiZjhjYzYxM2FmOA
Ritebrand Spaghetti 500g, R14.99 , R14.99 ,/medias/lqi-10139337EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDUyfGltYWdlL3BuZ3xpbWFnZXMvaGY3L2g1Zi85MTAwNjEyNzMwOTEwLnBuZ3w1YzgwNjExNzIxOGY0ZTFkYTQ4ZjlmNmU0NmI0YzYwZWUyMGQ4YzhiMTY4ODNkNjk2NjRlOThhYTU4MWMyMzI5
Fair Cape Lunchbox Sweetened Strawberry/Vanilla/Granadilla Yoghurt 6 x 80g, R11.99 , R11.99 ,/medias/lqi-10232679EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzU4fGltYWdlL3BuZ3xpbWFnZXMvaDU5L2gwMy85MDgzNTM2NTM5Njc4LnBuZ3xmNTJiOTUxODY1M2JlN2I2ZGFiNzM0ZTE0MDIwMWJkNTBjNzRkYzc0OWM1Yjc2MjFjNGJmNjk4OTFjZDg2MGUz
Fair Cape Lunchbox Sweetened Strawberry/Peach & Apricot/Mixed Berry Yoghurt 6 x 80g, R11.99 , R11.99 ,/medias/lqi-10393592EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDMzfGltYWdlL3BuZ3xpbWFnZXMvaGE1L2gwZi85MDg0NTgxMTE3OTgyLnBuZ3w0MDA3NjY2MTZjZjFjODFkZmIzY2ZjN2U0YjFlZjZlMDZkNTk2N2I1NGMzNTFkMGI0MzkwN2VlODExOTlhYjUy
Nestlé Cremora Coffee Creamer Box 750g, R49.99 , R49.99 ,/medias/lqi-10614856EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMjAyfGltYWdlL3BuZ3xpbWFnZXMvaDFhL2g1Ni85MDg2NjA2MjQ1OTE4LnBuZ3xjNWM0ZjRkODg4YTM3ZGNmMDBjZDgyZGZmMzU3NDE0NTlkZmU0YmI4ODYyMWU2NzU2NDlmN2QwNGJlNzUzMDA0
